Date;Rate;OMX_Close;Index_Value
2021-06-23 00:00:00;0,00;2,242.24;48,20
2021-06-24 00:00:00;0,00;2,270.94;48,40
2021-06-28 00:00:00;0,00;2,256.34;47,70
2021-06-29 00:00:00;0,00;2,279.76;47,30
2021-06-30 00:00:00;0,00;2,263.13;50,00
2021-07-01 00:00:00;0,00;2,273.89;49,70
2021-07-02 00:00:00;0,00;2,288.93;49,70
2021-07-05 00:00:00;0,00;2,299.07;49,20
2021-07-06 00:00:00;0,00;2,288.70;49,70
2021-07-07 00:00:00;0,00;2,326.07;50,00
2021-07-08 00:00:00;0,00;2,289.94;48,80
2021-07-09 00:00:00;0,00;2,319.53;49,30
2021-07-12 00:00:00;0,00;2,337.73;48,80
2021-07-13 00:00:00;0,00;2,349.19;48,90
2021-07-14 00:00:00;0,00;2,356.34;48,40
2021-07-15 00:00:00;0,00;2,344.49;47,40
2021-07-16 00:00:00;0,00;2,338.80;47,20
2021-07-19 00:00:00;0,00;2,287.46;46,10
2021-07-20 00:00:00;0,00;2,303.54;46,00
2021-07-21 00:00:00;0,00;2,334.37;48,50
2021-07-22 00:00:00;0,00;2,352.35;48,00
2021-07-23 00:00:00;0,00;2,384.69;47,70
2021-07-26 00:00:00;0,00;2,387.66;47,30
2021-07-27 00:00:00;0,00;2,375.97;47,30
2021-07-28 00:00:00;0,00;2,381.89;46,60
2021-07-29 00:00:00;0,00;2,384.19;47,30
2021-07-30 00:00:00;0,00;2,369.89;46,90
2021-08-02 00:00:00;0,00;2,381.66;48,00
2021-08-03 00:00:00;0,00;2,380.14;47,60
2021-08-04 00:00:00;0,00;2,393.10;47,80
2021-08-05 00:00:00;0,00;2,393.68;47,40
2021-08-06 00:00:00;0,00;2,380.46;47,30
2021-08-09 00:00:00;0,00;2,384.76;47,00
2021-08-10 00:00:00;0,00;2,393.74;46,60
2021-08-11 00:00:00;0,00;2,401.49;46,80
2021-08-12 00:00:00;0,00;2,405.53;46,70
2021-08-13 00:00:00;0,00;2,407.04;46,20
