Date;RATE_Styrränta;Novotek_Open;OMX_Close 
2021-09-27 00:00:00;0,00;66,00;2,304.01
2021-09-28 00:00:00;0,00;66,00;2,254.02
2021-09-29 00:00:00;0,00;63,40;2,255.55
2021-09-30 00:00:00;0,00;60,00;2,259.18
2021-10-01 00:00:00;0,00;63,00;2,254.18
2021-10-04 00:00:00;0,00;63,00;2,233.30
2021-10-05 00:00:00;0,00;62,00;2,254.84
2021-10-06 00:00:00;0,00;60,00;2,221.06
2021-10-07 00:00:00;0,00;63,00;2,257.74
2021-10-08 00:00:00;0,00;62,40;2,240.22
2021-10-11 00:00:00;0,00;60,60;2,233.52
2021-10-12 00:00:00;0,00;59,20;2,251.01
2021-10-13 00:00:00;0,00;60,20;2,276.95
2021-10-14 00:00:00;0,00;61,40;2,296.77
2021-10-15 00:00:00;0,00;63,00;2,314.98
2021-10-18 00:00:00;0,00;63,40;2,311.70
2021-10-19 00:00:00;0,00;65,20;2,326.66
2021-10-20 00:00:00;0,00;66,00;2,326.25
2021-10-21 00:00:00;0,00;65,20;2,325.15
2021-10-22 00:00:00;0,00;65,40;2,348.84
2021-10-25 00:00:00;0,00;67,80;2,330.13
2021-10-26 00:00:00;0,00;68,00;2,344.20
2021-10-27 00:00:00;0,00;68,20;2,323.17
2021-10-28 00:00:00;0,00;67,00;2,313.24
2021-10-29 00:00:00;0,00;65,60;2,290.85
2021-11-01 00:00:00;0,00;65,00;2,302.26
2021-11-02 00:00:00;0,00;64,20;2,302.67
2021-11-03 00:00:00;0,00;65,40;2,317.67
2021-11-04 00:00:00;0,00;67,00;2,330.07
2021-11-05 00:00:00;0,00;68,20;2,324.90
2021-11-08 00:00:00;0,00;71,00;2,331.85
2021-11-09 00:00:00;0,00;69,60;2,327.12
2021-11-10 00:00:00;0,00;69,80;2,331.42
2021-11-11 00:00:00;0,00;67,00;2,346.46
2021-11-12 00:00:00;0,00;70,00;2,365.45
2021-11-15 00:00:00;0,00;72,40;2,374.47
2021-11-16 00:00:00;0,00;73,60;2,385.63
2021-11-17 00:00:00;0,00;75,40;2,384.10
2021-11-18 00:00:00;0,00;75,40;2,373.04
2021-11-19 00:00:00;0,00;75,00;2,373.92
2021-11-22 00:00:00;0,00;74,20;2,368.57
2021-11-23 00:00:00;0,00;70,20;2,334.31
2021-11-24 00:00:00;0,00;71,00;2,336.50
2021-11-25 00:00:00;0,00;70,00;2,335.59
2021-11-26 00:00:00;0,00;74,00;2,242.18
2021-11-29 00:00:00;0,00;72,40;2,272.27
2021-11-30 00:00:00;0,00;72,00;2,241.66
2021-12-01 00:00:00;0,00;69,40;2,290.72
2021-12-02 00:00:00;0,00;72,00;2,263.20
2021-12-03 00:00:00;0,00;68,00;2,240.83
2021-12-06 00:00:00;0,00;68,80;2,285.53
2021-12-07 00:00:00;0,00;67,20;2,334.85
2021-12-08 00:00:00;0,00;68,80;2,326.55
2021-12-09 00:00:00;0,00;68,20;2,323.89
2021-12-10 00:00:00;0,00;68,20;2,315.73
2021-12-13 00:00:00;0,00;70,40;2,310.35
2021-12-14 00:00:00;0,00;68,00;2,286.37
2021-12-15 00:00:00;0,00;66,20;2,293.46
2021-12-16 00:00:00;0,00;66,00;2,311.03
2021-12-17 00:00:00;0,00;65,60;2,305.92
2021-12-20 00:00:00;0,00;65,40;2,285.72
2021-12-21 00:00:00;0,00;65,60;2,319.52
2021-12-22 00:00:00;0,00;69,80;2,334.81
2021-12-23 00:00:00;0,00;74,00;2,385.63
2021-12-27 00:00:00;0,00;73,00;2,406.61
2021-12-28 00:00:00;0,00;74,00;2,420.47
2021-12-29 00:00:00;0,00;73,20;2,418.90
2021-12-30 00:00:00;0,00;74,80;2,419.73
2022-01-03 00:00:00;0,00;74,80;2,444.19
2022-01-04 00:00:00;0,00;77,80;2,456.17
2022-01-05 00:00:00;0,00;79,20;2,442.81
2022-01-07 00:00:00;0,00;79,00;2,400.95
2022-01-10 00:00:00;0,00;77,20;2,352.73
2022-01-11 00:00:00;0,00;69,20;2,379.19
2022-01-12 00:00:00;0,00;72,20;2,399.18
2022-01-13 00:00:00;0,00;74,60;2,397.96
2022-01-14 00:00:00;0,00;72,40;2,358.29
2022-01-17 00:00:00;0,00;73,60;2,363.12
2022-01-18 00:00:00;0,00;71,00;2,322.80
2022-01-19 00:00:00;0,00;69,60;2,332.96
2022-01-20 00:00:00;0,00;74,80;2,354.51
2022-01-21 00:00:00;0,00;72,00;2,314.06
2022-01-24 00:00:00;0,00;69,00;2,223.99
2022-01-25 00:00:00;0,00;67,60;2,239.72
2022-01-26 00:00:00;0,00;65,40;2,286.11
2022-01-27 00:00:00;0,00;73,00;2,270.12
2022-01-28 00:00:00;0,00;69,60;2,266.82
2022-01-31 00:00:00;0,00;75,40;2,290.16
2022-02-01 00:00:00;0,00;74,00;2,313.20
2022-02-02 00:00:00;0,00;71,20;2,324.48
2022-02-03 00:00:00;0,00;71,40;2,277.67
2022-02-04 00:00:00;0,00;69,80;2,254.30
2022-02-07 00:00:00;0,00;71,00;2,278.64
2022-02-08 00:00:00;0,00;69,40;2,274.40
2022-02-09 00:00:00;0,00;68,00;2,313.14
2022-02-10 00:00:00;0,00;69,60;2,314.26
2022-02-11 00:00:00;0,00;68,80;2,293.77
2022-02-14 00:00:00;0,00;66,60;2,240.97
2022-02-15 00:00:00;0,00;63,20;2,282.06
2022-02-16 00:00:00;0,00;61,20;2,263.41
2022-02-17 00:00:00;0,00;66,60;2,229.15
2022-02-18 00:00:00;0,00;61,00;2,197.72
2022-02-21 00:00:00;0,00;58,60;2,159.30
2022-02-22 00:00:00;0,00;52,20;2,157.92
2022-02-23 00:00:00;0,00;54,60;2,142.03
2022-02-24 00:00:00;0,00;51,20;2,078.06
2022-02-25 00:00:00;0,00;52,20;2,141.52
2022-02-28 00:00:00;0,00;53,20;2,134.07
2022-03-01 00:00:00;0,00;51,40;2,084.93
2022-03-02 00:00:00;0,00;49,80;2,096.53
2022-03-03 00:00:00;0,00;50,40;2,048.51
2022-03-04 00:00:00;0,00;51,80;1,985.54
2022-03-07 00:00:00;0,00;49,50;1,980.35
2022-03-08 00:00:00;0,00;51,00;1,972.04
2022-03-09 00:00:00;0,00;50,00;2,041.62
2022-03-10 00:00:00;0,00;51,20;2,038.92
2022-03-11 00:00:00;0,00;50,40;2,070.80
2022-03-14 00:00:00;0,00;52,60;2,096.44
2022-03-15 00:00:00;0,00;57,00;2,085.08
2022-03-16 00:00:00;0,00;56,00;2,167.15
2022-03-17 00:00:00;0,00;58,20;2,159.00
2022-03-18 00:00:00;0,00;60,40;2,178.82
2022-03-21 00:00:00;0,00;65,20;2,181.05
2022-03-22 00:00:00;0,00;61,60;2,182.78
2022-03-23 00:00:00;0,00;62,40;2,155.64
2022-03-24 00:00:00;0,00;64,40;2,134.16
2022-03-25 00:00:00;0,00;60,00;2,106.52
2022-03-28 00:00:00;0,00;60,00;2,124.93
2022-03-29 00:00:00;0,00;62,40;2,154.38
2022-03-30 00:00:00;0,00;63,80;2,130.30
2022-03-31 00:00:00;0,00;61,20;2,095.17
2022-04-01 00:00:00;0,00;61,40;2,119.62
2022-04-04 00:00:00;0,00;61,10;2,136.44
2022-04-05 00:00:00;0,00;62,40;2,132.52
2022-04-06 00:00:00;0,00;62,40;2,101.21
2022-04-07 00:00:00;0,00;63,00;2,108.04
2022-04-08 00:00:00;0,00;62,00;2,131.86
2022-04-11 00:00:00;0,00;61,60;2,097.71
2022-04-12 00:00:00;0,00;62,30;2,102.20
2022-04-13 00:00:00;0,00;63,70;2,098.58
2022-04-14 00:00:00;0,00;64,30;2,092.86
2022-04-19 00:00:00;0,00;65,00;2,097.89
2022-04-20 00:00:00;0,00;66,70;2,109.10
2022-04-21 00:00:00;0,00;66,10;2,126.44
2022-04-22 00:00:00;0,00;65,20;2,094.94
2022-04-25 00:00:00;0,00;63,00;2,050.64
2022-04-26 00:00:00;0,00;63,00;2,018.33
2022-04-27 00:00:00;0,00;62,00;2,048.69
2022-04-28 00:00:00;0,00;62,10;2,038.56
2022-04-29 00:00:00;0,00;62,10;2,058.90
2022-05-02 00:00:00;0,00;62,00;2,020.41
2022-05-03 00:00:00;0,00;60,50;2,034.46
2022-05-04 00:00:00;0,25;61,00;2,011.12
2022-05-05 00:00:00;0,25;62,20;1,985.13
2022-05-06 00:00:00;0,25;59,90;1,962.00
2022-05-09 00:00:00;0,25;58,00;1,914.83
2022-05-10 00:00:00;0,25;54,00;1,943.11
2022-05-11 00:00:00;0,25;58,00;1,977.47
2022-05-12 00:00:00;0,25;59,20;1,973.48
2022-05-13 00:00:00;0,25;58,00;2,011.33
2022-05-16 00:00:00;0,25;60,40;2,004.49
2022-05-17 00:00:00;0,25;61,40;2,027.34
2022-05-18 00:00:00;0,25;64,90;2,002.54
2022-05-19 00:00:00;0,25;62,90;1,992.40
2022-05-20 00:00:00;0,25;64,00;1,994.09
2022-05-23 00:00:00;0,25;62,10;2,018.87
2022-05-24 00:00:00;0,25;66,00;2,001.10
2022-05-25 00:00:00;0,25;64,40;1,981.82
2022-05-27 00:00:00;0,25;63,80;2,058.10
2022-05-30 00:00:00;0,25;62,80;2,075.28
2022-05-31 00:00:00;0,25;60,60;2,042.64
2022-06-01 00:00:00;0,25;65,70;2,041.26
2022-06-02 00:00:00;0,25;66,00;2,075.68
2022-06-03 00:00:00;0,25;70,00;2,069.41
2022-06-07 00:00:00;0,25;68,80;2,074.21
2022-06-08 00:00:00;0,25;71,70;2,069.93
2022-06-09 00:00:00;0,25;72,00;2,044.06
2022-06-10 00:00:00;0,25;70,50;1,990.80
2022-06-13 00:00:00;0,25;67,10;1,956.51
2022-06-14 00:00:00;0,25;68,00;1,931.39
2022-06-15 00:00:00;0,25;62,20;1,946.86
2022-06-16 00:00:00;0,25;67,40;1,890.33
2022-06-17 00:00:00;0,25;61,70;1,884.27
2022-06-20 00:00:00;0,25;62,00;1,895.24
2022-06-21 00:00:00;0,25;61,30;1,903.38
2022-06-22 00:00:00;0,25;61,00;1,895.84
2022-06-23 00:00:00;0,25;59,90;1,865.54
2022-06-27 00:00:00;0,25;58,50;1,924.84
2022-06-28 00:00:00;0,25;61,10;1,913.14
2022-06-29 00:00:00;0,25;63,00;1,908.31
2022-06-30 00:00:00;0,25;63,90;1,872.68
2022-07-01 00:00:00;0,25;61,90;1,875.94
2022-07-04 00:00:00;0,25;63,90;1,893.56
2022-07-05 00:00:00;0,25;63,60;1,866.16
2022-07-06 00:00:00;0,75;62,30;1,918.67
2022-07-07 00:00:00;0,75;62,30;1,954.58
2022-07-08 00:00:00;0,75;60,00;1,971.04
2022-07-11 00:00:00;0,75;61,50;1,937.49
2022-07-12 00:00:00;0,75;61,10;1,968.81
